Sample ID,Date,Tin (g),Wet Soil (g),Tin + Wet Soil (g),Tin + Dry Soil (g),Tin + Ashed soil (g),Water (g),Dry Soil (g),Ashed Soil (g),LOI (g ashed / g dry),DWE (g dry / g wet),Soil Moisture Fraction,Belowground Biomass Weight (g),Belowground Biomass (g / m2),NH4 ppm N,NH4 ppm N with 1/2MDL,"KCl extract soil weight, wet (g)","KCl extract soil weight, dry (g)",NH4 mg N,NH4 mg N per g dry soil,NH4 mg N per g wet soil,"Water extract soil weight, wet (g)","Water extract soil weight, dry (g)",SO4 ppm,SO4 mg,SO4 mg per g dry soil,SO4 mg per g wet soil,Denit (ng N / hr / g dry soil),N2O (ng / hr / g dry soil),N2O yield,Notes on N2O yield
LM1,May,1.01,4.9,5.91,1.7,1.39,4.21,0.69,0.38,0.550724638,0.140816327,0.859183673,10.15,5.17853,2.740999937,2.740999937,2.56,0.360489796,0.068524998,0.190088594,0.026767578,2.59,0.364714286,103.9143,2.5978575,7.122993537,1.003033784,2173.165279,251.1832934,0.115584073,
LM2,May,1.01,5.2,6.21,1.56,1.24,4.65,0.55,0.23,0.418181818,0.105769231,0.894230769,15.9,8.11218,4.985000134,4.985000134,2.46,0.260192308,0.124625003,0.478972666,0.05066057,2.45,0.259134615,65.562,1.63905,6.325090909,0.669,1008.968336,345.479052,0.34240822,
LM3,May,1.01,4.8,5.81,1.52,1.28,4.29,0.51,0.27,0.529411765,0.10625,0.89375,10.09,5.147918,3.450999975,3.450999975,2.54,0.269875,0.086274999,0.319685037,0.033966535,2.47,0.2624375,47.5176,1.18794,4.526563467,0.480947368,3624.722568,340.2233681,0.093861906,
LM4,May,1.01,4.95,5.96,1.48,1.2,4.48,0.47,0.19,0.404255319,0.094949495,0.905050505,15.81,8.066262,3.075999975,3.075999975,2.49,0.236424242,0.076899999,0.325262751,0.030883534,2.53,0.240222222,181.1835,4.5295875,18.85582216,1.790350791,696.4145182,61.48058984,0.088281603,
LM5,May,1.01,4.89,5.9,1.57,1.22,4.33,0.56,0.21,0.375,0.114519427,0.885480573,17.73,9.045846,2.84100008,2.84100008,2.58,0.295460123,0.071025002,0.240387777,0.027529071,2.53,0.289734151,93.9778,2.349445,8.108968132,0.928634387,55.87963752,73.61798713,1.317438523,Fluxes look good; yield is just slightly above 1
HM1,May,1.03,4.79,5.82,1.81,1.46,4.01,0.78,0.43,0.551282051,0.162839248,0.837160752,9.18,4.683636,1.80400002,1.80400002,2.42,0.394070981,0.045100001,0.114446388,0.018636364,2.5,0.407098121,47.5604,1.18901,2.920696359,0.475604,192.8898532,58.14076771,0.301419524,
HM2,May,1.03,5.12,6.15,2.56,2.1,3.59,1.53,1.07,0.699346405,0.298828125,0.701171875,8.87,4.525474,3.895999908,3.895999908,2.58,0.770976563,0.097399998,0.12633328,0.037751937,2.43,0.726152344,58.2073,1.4551825,2.003963097,0.598840535,1042.75682,203.3816201,0.195042234,
HM3,May,1.04,4.93,5.97,1.6,1.24,4.37,0.56,0.2,0.357142857,0.113590264,0.886409736,9.38,4.785676,2.523000002,2.523000002,2.52,0.286247465,0.063075,0.220351297,0.025029762,2.42,0.274888438,76.7195,1.9179875,6.97733056,0.792556818,797.6457264,101.8103604,0.127638571,
HM4,May,1.02,4.8,5.82,1.51,1.16,4.31,0.49,0.14,0.285714286,0.102083333,0.897916667,13.7,6.98974,5.447999954,5.447999954,2.53,0.258270833,0.136199999,0.527353388,0.053833992,2.53,0.258270833,269.9161,6.7479025,26.12723401,2.667155138,1519.629674,396.3545084,0.260823091,
HM5,May,1.01,4.92,5.93,3.4,3.01,2.53,2.39,2,0.836820084,0.485772358,0.514227642,6.31,3.219362,5.688000202,5.688000202,2.45,1.190142276,0.142200005,0.119481517,0.058040818,2.354,1.14350813,53.4756,1.33689,1.169112807,0.567922685,407.1976449,16.09609401,0.039528947,
PH1,May,1.02,4.78,5.8,2.05,1.61,3.75,1.03,0.59,0.572815534,0.215481172,0.784518828,6.1,3.11222,4.624000072,4.624000072,2.54,0.547322176,0.115600002,0.211210155,0.045511812,2.52,0.543012552,47.8426,1.196065,2.202647057,0.474628968,379.5865668,232.7594074,0.613191898,
PH2,May,1.03,4.95,5.98,2.01,1.67,3.97,0.98,0.64,0.653061224,0.197979798,0.802020202,4.36,2.224472,1.470000029,1.470000029,2.44,0.483070707,0.036750001,0.076075821,0.015061476,2.46,0.487030303,15.1694,0.379235,0.778668181,0.154160569,2011.934444,317.2661284,0.157692081,
PH3,May,1.03,4.87,5.9,1.61,1.18,4.29,0.58,0.15,0.25862069,0.119096509,0.880903491,3.03,1.545906,2.361999989,2.361999989,2.5,0.297741273,0.05905,0.198326551,0.02362,2.56,0.304887064,10.6528,0.26632,0.873503772,0.10403125,2109.80685,237.1829506,0.112419272,
PH4,May,1.01,4.86,5.87,1.41,1.17,4.46,0.4,0.16,0.4,0.082304527,0.917695473,,,1.452999949,1.452999949,2.59,0.213168724,0.036324999,0.170404917,0.014025096,2.53,0.208230453,31.2408,0.78102,3.750748221,0.308703557,312.0573593,149.7966188,0.480029117,
