Month ,Month.N,Site,VegZone,Site.N,Denit.Rate,log.Denit.Rate,N2O.Rate,log.N2O.Rate,N2O.Yield,sqrt.yield,Soil.Moist,Chloride,Sulfate,log.Chloride,cube.moist,log.so4,nh4,log.nh4,B.Biomass
1,May,HM1,HM,6,229.5314108,2.360842126,35.99986244,1.556300841,0.156840679,0.39603116,0.837160752,31.98852746,2.576919925,1.504994249,0.279053584,0.411100924,6.955599544,0.900672914,9.18
1,May,HM2,HM,7,1237.994905,3.092718857,142.9608774,2.155217205,0.115477759,0.339820186,0.701171875,11.08402267,1.769741746,1.044697405,0.233723958,0.247909895,6.46582578,0.873077851,8.87
1,May,HM3,HM,8,800.2604755,2.903231368,65.3662949,1.815353869,0.081681274,0.285799359,0.886409736,45.62990782,6.168135852,1.659249591,0.295469912,0.79015393,12.0560019,1.115810205,9.38
1,May,HM4,HM,9,1421.649286,3.152792471,160.3917608,2.205182055,0.112820906,0.335888235,0.897916667,98.8065902,4.907909675,1.994785912,0.299305556,0.690896561,11.90997812,1.110925506,13.7
1,May,HM5,HM,10,384.8028395,2.585238268,10.26878871,1.011519218,0.026685844,0.163358025,0.514227642,8.374080325,0.956513307,0.922937122,0.171409214,-0.019308984,2.387109622,0.529829253,6.31
1,May,LM1,LM,1,2575.067739,3.410788658,180.2989513,2.255993201,0.070017168,0.264607574,0.859183673,58.45147453,1.334037843,1.766795471,0.286394558,0.12516815,5.004302592,0.778462571,10.15
1,May,LM2,LM,2,1587.611347,3.200744194,251.3476463,2.400274823,0.158318122,0.397892098,0.894230769,43.35198348,5.58852444,1.637008973,0.298076923,0.747297155,14.97353993,1.203401172,15.9
1,May,LM3,LM,3,4317.472272,3.635229557,234.0774385,2.369359556,0.054216315,0.232843972,0.89375,55.01844732,3.993733635,1.74050833,0.297916667,0.601379096,9.348772587,1.014888843,10.09
1,May,LM4,LM,4,809.8013049,2.908378472,0,0,0,0,0.905050505,124.8923848,3.538764426,2.096535958,0.301683502,0.548851653,23.04332203,1.380994473,15.81
1,May,LM5,LM,5,55.91249458,1.747508869,52.0864455,1.716724721,0.931570768,0.965179138,0.885480573,64.68317871,7.172704683,1.810791354,0.295160191,0.85568295,19.25132959,1.306453542,17.73
1,May,PH1,PH,11,440.7087808,2.644151704,160.9375764,2.206657457,0.365178965,0.604300393,0.784518828,18.38609205,1.943451388,1.26448943,0.261506276,0.288573682,8.448406218,0.975358557,6.1
1,May,PH2,PH,12,2380.403118,3.37665051,200.0418256,2.301120809,0.084036953,0.289891278,0.802020202,13.84548972,0.6794565,1.141308322,0.267340067,-0.167838342,0,0,4.36
1,May,PH3,PH,13,1135.941488,3.055355962,162.4892838,2.210824725,0.143043709,0.378211196,0.880903491,7.412196845,0.756962099,0.869946944,0.293634497,-0.120925865,7.933062031,0.95100035,3.03
1,May,PH4,PH,14,193.8257571,2.287411489,101.2513749,2.005400929,0.522383487,0.722761017,0.917695473,71.60157827,3.300360228,1.854922595,0.305898491,0.518561345,0,0,NA
